k0,S,lnk0
6.87,18.3,1.92716410623426
6.36,13.69,1.85002837735203
6.17,12.29,1.8196988379173
6.48,12.82,1.86872051036418
6.25,11.28,1.83258146374831
6.63,12.06,1.89160480419777
7.13,12.39,1.9643112344262
7.29,12.17,1.98650354602057
7.4,11.74,2.00148000021012
7.5,11.85,2.01490302054226
7.53,11.48,2.0188950418118
7.75,11.59,2.04769284336526
7.67,10.91,2.03731661537916
7.97,10.44,2.07568449280212
7.67,8.81,2.03731661537916
7.79,8.78,2.05284085988266
8.72,8.77,2.16561923792089
9.35,9.21,2.2353763433006
10.1,9.51,2.31253542384721
12.07,11.01,2.49072303510944
