k0,S,lnk0
76.7075393382956,5.74,4.34
3394.79956514135,8.31,8.13
18.915846312255,4.6,2.94
320.537732647356,6.92,5.77
376999.824155875,12.6,12.84
41.2643941086108,5,3.72
141.174963921477,5.54,4.95
54.5981500331442,5.59,4
1053.63355724232,7.86,6.96
26.0495371425183,5.05,3.26
7405.66109828121,9.06,8.91
626.406799811489,7.01,6.44
68.7172321738465,5.64,4.23
639.061056569553,7.98,6.46
523.218940108001,6.78,6.26
184.934184070683,6.37,5.22
162.389862053489,7.23,5.09
54.0548893633266,5.01,3.99
5324.10552530791,8.91,8.58
1603.58976783252,7.67,7.38
149.904736149047,6.29,5.01
134591.561356992,12.15,11.81
65.3658532140099,5.52,4.18
45.1504388663187,5.23,3.81
83.0962853583438,5.44,4.42
48.9108865237319,5.43,3.89
22.8739795424408,4.3,3.13
56.826342805469,5.66,4.04
53.5170342274912,5.58,3.98
139.770249560003,6.33,4.94
265.071605786227,6.76,5.58
528.477377877687,6.72,6.27
