k0,S,lnk0
1.22273814362738E+019,47.57,43.9502094907958
271338825998.622,30.76,26.3266341573141
1473453027709.66,34.76,28.0186297605771
227730093.452019,28.83,19.2436716850242
8457939200.76703,29.74,22.8583713876009
1801738790.54112,30.22,21.3120180303209
357550158.900798,23.08,19.6947862148742
969161.634646828,19.97,13.7841866825835
3.26445578121682E+016,44.85,38.0244545541112
268435458.701991,27.71,19.4081210657442
538125.06454426,19.19,13.195846274107
3.06280530383148E+017,44.35,40.2632778428478
73676304647387.8,36.78,31.9307023525379
2189420919330.59,30.01,28.4146582043947
7.34747705100341E+016,42.72,38.835718483836
1719390321989990,43.49,35.0807461589395
7501922739728871,40.32,36.5539357478942
8113083.95130983,23.35,15.9089886190754
9013535.83414793,23.52,16.0142379870249
2.08522359204724E+016,39.2,37.5762375757978
677959981023878,38.05,34.1501093770884
27614547422.1326,29.98,24.0416085513234
2.52702037376217E+016,43.59,37.7684023787089
1398488043.65268,25.42,21.0586575211616
4636136302810571,39.69,36.0726577209074
1.11592501907686E+017,44.46,39.2536302553936
2352824812101914,40.81,35.3943930488888
1.62332288400697E+017,41.93,39.6284217923478
988843.447970734,21.59,13.8042913048201
9879601.52538563,23.81,16.105982737472
5009399.93470965,25.39,15.4268266923766
6.19817526171106E+019,51.77,45.5733717029922
